circuit,TF-value,TI-value,T-EV-value,conf,cred,p-TF,p-TI,T-EV,y-test,y-pred
68,TRUE,FALSE,FALSE,0.998,0.3,0.300147885,0.000515297,0.002834765,TF,0
69,TRUE,FALSE,FALSE,0.997,0.425,0.427850948,0.000358982,0.002126691,TF,0
70,TRUE,FALSE,FALSE,0.998,0.384,0.384327544,0.000679152,0.002974515,TF,0
71,TRUE,FALSE,FALSE,0.997,0.341,0.34078946,0.001090676,0.003078418,TF,0
72,TRUE,FALSE,FALSE,0.999,0.558,0.557826379,0.001050208,0.001123488,TF,0
73,TRUE,FALSE,FALSE,0.997,0.266,0.266180019,0.001299983,0.00242922,TF,0
74,TRUE,FALSE,FALSE,0.999,0.482,0.48174514,0.001328555,0.000948529,TF,0
75,TRUE,FALSE,FALSE,0.997,0.261,0.261501629,0.000110298,0.002179422,TF,0
76,TRUE,FALSE,FALSE,0.999,0.762,0.762826583,0.001551007,0.000619618,TF,0
77,TRUE,FALSE,FALSE,0.997,0.427,0.425820775,0.000421127,0.003042595,TF,0
78,TRUE,FALSE,TRUE,0.93,0.169,0.170018637,0.010527135,0.070433675,TF,0
79,FALSE,FALSE,TRUE,0.999,0.582,0.000944957,0.000243132,0.58229604,T-EV,2
80,TRUE,FALSE,FALSE,0.984,0.221,0.221518668,0.002154634,0.015866752,TF,0
81,TRUE,FALSE,FALSE,0.998,0.345,0.344871201,0.001228854,0.001793065,TF,0
82,TRUE,FALSE,FALSE,1,0.788,0.787828293,0.000428923,0.00045837,TF,0
83,TRUE,FALSE,FALSE,0.999,0.558,0.558438251,0.000624562,0.000834068,TF,0
84,TRUE,FALSE,TRUE,0.916,0.143,0.142985558,0.034990863,0.08449672,TF,0
85,TRUE,FALSE,FALSE,0.999,0.721,0.720124291,0.000902858,0.00020984,TF,0
86,TRUE,FALSE,FALSE,0.999,0.77,0.768339248,5.20E-05,0.000622932,TF,0
87,TRUE,FALSE,FALSE,0.999,0.502,0.501990413,0.001536523,0.000317779,TF,0
88,TRUE,FALSE,FALSE,0.998,0.299,0.299368014,0.001493163,0.001849004,TF,0
89,TRUE,FALSE,FALSE,0.997,0.321,0.321112976,0.000568823,0.00265118,TF,0
90,TRUE,FALSE,FALSE,0.998,0.426,0.428150888,0.001529863,0.002695027,TF,0
91,FALSE,FALSE,TRUE,0.998,0.965,0.001040992,0.000503566,0.963262101,T-EV,2
92,TRUE,TRUE,TRUE,0.904,0.135,0.077996447,0.096964965,0.135675743,T-EV,2
93,TRUE,FALSE,FALSE,0.998,0.677,0.662111597,0.000176121,0.001033491,TF,0
94,TRUE,FALSE,FALSE,0.999,0.541,0.541544047,0.000103864,9.78E-05,TF,0
95,TRUE,FALSE,FALSE,0.965,0.198,0.197125733,0.002215692,0.035374091,TF,0
96,TRUE,FALSE,FALSE,0.975,0.214,0.21371413,0.002169603,0.025339609,TF,0
97,FALSE,FALSE,TRUE,0.999,0.975,0.001129157,0.001378159,0.97452004,T-EV,2
98,TRUE,FALSE,TRUE,0.947,0.182,0.182530217,0.002039178,0.051857425,TF,0
99,TRUE,FALSE,FALSE,0.966,0.2,0.202152106,0.035060154,0.002189549,TF,0
100,TRUE,FALSE,FALSE,0.999,0.53,0.530112798,0.001365312,0.001032623,TF,0
101,TRUE,FALSE,FALSE,0.997,0.32,0.31924918,0.001001339,0.002503337,TF,0
102,TRUE,FALSE,FALSE,0.997,0.313,0.313625786,0.00075039,0.00191776,TF,0
103,TRUE,TRUE,TRUE,0.92,0.157,0.079269253,0.066450668,0.15734938,T-EV,2
104,TRUE,FALSE,FALSE,0.998,0.435,0.436309685,0.001120674,0.001990565,TF,0
105,TRUE,FALSE,FALSE,0.998,0.459,0.460385095,0.001107273,0.001866363,TF,0
106,TRUE,TRUE,FALSE,0.916,0.146,0.084374361,0.145939381,0.031308682,TI,1
107,TRUE,TRUE,TRUE,0.895,0.132,0.103121294,0.072738014,0.130525121,T-EV,2
108,TRUE,FALSE,FALSE,0.998,0.648,0.648239965,0.001326513,0.000525246,TF,0
109,FALSE,FALSE,TRUE,0.964,0.193,0.036105296,0.00225682,0.193075301,T-EV,2
110,TRUE,FALSE,FALSE,0.999,0.623,0.6262857,0.000847054,0.000347851,TF,0
111,TRUE,FALSE,FALSE,0.999,0.795,0.794408028,0.001313782,0.000998442,TF,0
112,TRUE,TRUE,FALSE,0.914,0.141,0.141322474,0.086210595,0.037239012,TF,0
113,TRUE,FALSE,TRUE,0.938,0.181,0.180886829,0.004108799,0.061512165,TF,0
114,TRUE,FALSE,FALSE,0.999,0.484,0.484346799,0.001210247,0.001236984,TF,0
115,TRUE,FALSE,TRUE,0.92,0.156,0.157293612,0.024799017,0.080505563,TF,0
116,TRUE,FALSE,FALSE,0.999,0.606,0.60560533,0.001408511,0.000351502,TF,0
117,TRUE,FALSE,FALSE,0.998,0.407,0.406145881,0.000142815,0.002377364,TF,0
118,TRUE,FALSE,FALSE,0.998,0.268,0.268916772,5.00E-05,0.002715615,TF,0
119,TRUE,FALSE,FALSE,0.999,0.666,0.66591373,0.000841485,0.000595346,TF,0
120,TRUE,TRUE,FALSE,0.912,0.14,0.139397246,0.08764032,0.043174548,TF,0
121,TRUE,FALSE,FALSE,0.998,0.591,0.589518431,0.001422502,0.001282259,TF,0
122,TRUE,FALSE,FALSE,0.996,0.254,0.253522262,0.002352413,0.003967639,TF,0
123,TRUE,FALSE,FALSE,0.998,0.361,0.362199613,0.001135455,0.001852937,TF,0
124,TRUE,FALSE,FALSE,0.999,0.494,0.494325181,0.000542824,0.000130393,TF,0
125,TRUE,TRUE,FALSE,0.913,0.139,0.140227659,0.08708861,0.043097716,TF,0
126,TRUE,FALSE,FALSE,0.999,0.693,0.693633955,0.001503908,0.001247828,TF,0
127,TRUE,FALSE,FALSE,0.998,0.347,0.346830396,0.000946609,0.00167465,TF,0
128,TRUE,FALSE,FALSE,0.999,0.516,0.516133972,0.000670696,0.000527039,TF,0
129,TRUE,FALSE,FALSE,0.999,0.604,0.605610884,0.000281299,1.80E-05,TF,0
130,TRUE,FALSE,FALSE,0.997,0.46,0.45967042,0.001154232,0.002742831,TF,0
131,FALSE,FALSE,TRUE,0.999,0.792,0.001452475,0.000688253,0.792121133,T-EV,2
132,TRUE,FALSE,FALSE,0.999,0.595,0.594636216,0.00092739,0.00050198,TF,0
133,TRUE,TRUE,TRUE,0.896,0.132,0.104089224,0.073111049,0.131365484,T-EV,2
134,TRUE,FALSE,FALSE,0.998,0.379,0.379323778,0.000509797,0.002664697,TF,0
135,TRUE,FALSE,FALSE,0.999,0.862,0.843639794,0.000636259,0.000277427,TF,0
136,TRUE,FALSE,FALSE,0.999,0.564,0.568585392,0.001035669,1.99E-06,TF,0
137,FALSE,FALSE,TRUE,0.999,0.689,0.000623211,0.000295888,0.690800886,T-EV,2
138,TRUE,FALSE,FALSE,0.999,0.516,0.516190313,0.000946623,1.98E-05,TF,0
139,FALSE,TRUE,FALSE,0.999,0.96,0.000867337,0.960530173,0.00089983,TI,1
140,TRUE,FALSE,FALSE,1,0.518,0.517588401,0.00026652,0.000466538,TF,0
141,TRUE,FALSE,FALSE,0.985,0.221,0.220903541,0.010085163,0.015109946,TF,0
142,TRUE,TRUE,TRUE,0.904,0.137,0.078713467,0.097970815,0.136136872,T-EV,2
143,TRUE,FALSE,FALSE,0.999,0.582,0.582655049,0.001261612,0.000148295,TF,0
144,TRUE,FALSE,FALSE,0.999,0.659,0.657374621,0.000897637,0.000559158,TF,0
145,TRUE,FALSE,FALSE,0.999,0.558,0.55859206,0.001116642,3.98E-06,TF,0
146,TRUE,FALSE,FALSE,0.998,0.633,0.628387458,0.000357007,0.001527021,TF,0
147,TRUE,FALSE,FALSE,0.999,0.732,0.734583698,0.000744442,0.001121342,TF,0
148,TRUE,FALSE,FALSE,0.998,0.291,0.291464896,0.001531929,0.002572541,TF,0
149,TRUE,FALSE,FALSE,0.952,0.188,0.18764141,0.00319963,0.047738523,TF,0
150,TRUE,TRUE,FALSE,0.913,0.138,0.13857215,0.08939183,0.042108608,TF,0
151,TRUE,FALSE,FALSE,0.999,0.62,0.621378582,0.00083356,0.000839472,TF,0
152,TRUE,FALSE,FALSE,0.997,0.427,0.425292029,0.000953041,0.002774283,TF,0
153,TRUE,FALSE,FALSE,0.999,0.752,0.748838837,0.000399169,0.000715076,TF,0
154,TRUE,FALSE,FALSE,0.997,0.317,0.317190604,0.000428402,0.001999851,TF,0
155,TRUE,FALSE,FALSE,0.999,0.541,0.540681334,0.000493871,0.000729341,TF,0
156,TRUE,FALSE,TRUE,0.93,0.17,0.170221963,0.011907348,0.069330742,TF,0
157,TRUE,FALSE,TRUE,0.915,0.144,0.143438563,0.031061775,0.084354273,TF,0
158,TRUE,FALSE,FALSE,0.999,0.572,0.572809264,0.00082749,0.001440394,TF,0
159,TRUE,FALSE,TRUE,0.935,0.176,0.176482833,0.005950299,0.064964867,TF,0
160,TRUE,FALSE,TRUE,0.937,0.181,0.181737386,0.005469941,0.062889949,TF,0
161,FALSE,FALSE,TRUE,0.997,0.264,0.00281269,0.001298831,0.265596117,T-EV,2
162,TRUE,FALSE,FALSE,0.997,0.313,0.312807684,9.17E-05,0.002049069,TF,0
163,TRUE,FALSE,FALSE,0.999,0.923,0.923881398,0.00078691,0.000521575,TF,0
164,TRUE,FALSE,TRUE,0.915,0.15,0.150338219,0.030320896,0.085093553,TF,0
165,TRUE,FALSE,FALSE,0.997,0.275,0.273918562,0.000607485,0.001750268,TF,0
166,TRUE,TRUE,FALSE,0.934,0.176,0.178558238,0.0646639,0.004747751,TF,0
167,TRUE,TRUE,TRUE,0.895,0.131,0.101479504,0.072153281,0.130700647,T-EV,2
168,TRUE,FALSE,FALSE,0.998,0.424,0.42388805,0.001094212,0.002048294,TF,0
169,TRUE,FALSE,FALSE,0.999,0.75,0.748441857,0.00109626,0.000771027,TF,0
170,TRUE,FALSE,FALSE,0.998,0.397,0.397228847,0.000119665,0.002575251,TF,0
171,TRUE,FALSE,FALSE,0.998,0.269,0.268173095,0.001453303,0.002995971,TF,0
172,TRUE,FALSE,TRUE,0.937,0.181,0.180645805,0.004018785,0.062978598,TF,0
173,TRUE,FALSE,TRUE,0.931,0.17,0.169137435,0.012225042,0.070625873,TF,0
174,TRUE,FALSE,FALSE,0.998,0.795,0.795451202,0.001177949,0.001082973,TF,0
175,TRUE,FALSE,FALSE,0.997,0.332,0.332888094,0.000703023,0.001671236,TF,0
176,TRUE,TRUE,FALSE,0.926,0.163,0.161080397,0.074955254,0.029343156,TF,0
177,TRUE,FALSE,FALSE,0.995,0.25,0.24987269,0.002784292,0.003382485,TF,0
178,TRUE,FALSE,FALSE,0.967,0.196,0.205103004,0.035376393,0.003051706,TF,0
179,TRUE,FALSE,FALSE,0.998,0.412,0.410853775,4.70E-05,0.002482247,TF,0
180,TRUE,FALSE,FALSE,0.999,0.547,0.546668577,0.001210228,0.000609524,TF,0
181,TRUE,FALSE,FALSE,0.997,0.385,0.384181912,0.000428793,0.002337787,TF,0
182,TRUE,FALSE,FALSE,0.999,0.653,0.652242139,0.000928637,0.001377906,TF,0
183,TRUE,FALSE,FALSE,0.972,0.21,0.210073215,0.002263609,0.027590157,TF,0
184,TRUE,FALSE,FALSE,0.966,0.205,0.203086535,0.034236343,0.001914964,TF,0
185,TRUE,FALSE,FALSE,0.999,0.856,0.862866248,0.000930222,0.001250678,TF,0
186,TRUE,TRUE,FALSE,0.923,0.162,0.161995583,0.078527759,0.016677357,TF,0
187,TRUE,FALSE,FALSE,0.997,0.303,0.303731876,0.000117652,0.00305254,TF,0
188,TRUE,FALSE,FALSE,0.997,0.481,0.480197396,2.78E-05,0.002262729,TF,0
189,TRUE,FALSE,FALSE,0.999,0.582,0.581822954,0.000699448,0.000758981,TF,0
190,TRUE,FALSE,FALSE,0.995,0.246,0.24492381,0.002356023,0.005987716,TF,0
191,TRUE,FALSE,FALSE,0.976,0.211,0.211730426,0.00293833,0.025378113,TF,0
192,TRUE,FALSE,FALSE,0.999,0.6,0.600207649,0.001274128,0.001131303,TF,0
193,TRUE,FALSE,FALSE,0.997,0.424,0.423511089,0.001328081,0.001878164,TF,0
194,TRUE,FALSE,TRUE,0.929,0.167,0.167198543,0.015948786,0.070049338,TF,0
195,TRUE,FALSE,FALSE,0.999,0.761,0.760761166,0.00120004,0.001242652,TF,0
196,TRUE,FALSE,FALSE,0.985,0.223,0.22295006,0.002466839,0.015093625,TF,0
197,TRUE,FALSE,TRUE,0.936,0.181,0.181542832,0.003179995,0.063233297,TF,0
198,TRUE,FALSE,FALSE,1,0.509,0.509729535,0.000262672,0.000493533,TF,0
199,TRUE,FALSE,FALSE,0.997,0.316,0.315627471,0.000852161,0.002245722,TF,0
200,TRUE,FALSE,FALSE,0.999,0.779,0.777922807,0.000605382,0.001348172,TF,0
201,TRUE,FALSE,FALSE,0.998,0.363,0.362595815,0.00131316,0.002802876,TF,0
202,FALSE,FALSE,TRUE,0.998,0.933,0.001394113,0.000378506,0.933966599,T-EV,2
203,TRUE,FALSE,FALSE,0.996,0.256,0.256083853,0.000356717,0.003256887,TF,0
204,TRUE,FALSE,FALSE,0.999,0.937,0.937181985,0.000838245,0.001480043,TF,0
205,TRUE,FALSE,FALSE,0.999,0.769,0.765018506,0.000638531,0.000975428,TF,0
206,TRUE,FALSE,FALSE,0.998,0.3,0.300816348,0.001393271,0.002374242,TF,0
207,TRUE,FALSE,FALSE,0.999,0.657,0.657231531,0.001228569,0.00119789,TF,0
208,TRUE,FALSE,FALSE,0.999,0.819,0.818654758,0.001199885,0.000980388,TF,0
209,TRUE,FALSE,FALSE,0.999,0.607,0.605617324,3.22E-05,0.00148294,TF,0
210,TRUE,FALSE,FALSE,0.998,0.945,0.943732385,0.000746317,0.000265519,TF,0
211,TRUE,FALSE,FALSE,0.987,0.231,0.231551591,0.002048989,0.011612642,TF,0
212,TRUE,FALSE,FALSE,0.998,0.294,0.294082424,0.001188587,0.001712363,TF,0
213,TRUE,FALSE,FALSE,0.998,0.795,0.79460981,0.000553377,0.001514913,TF,0
214,TRUE,FALSE,FALSE,0.999,0.904,0.829535905,0.000141379,0.000432024,TF,0
215,TRUE,FALSE,FALSE,1,0.713,0.710612218,0.001081092,0.001000857,TF,0
216,TRUE,FALSE,FALSE,0.998,0.259,0.259065618,0.001098933,0.003109755,TF,0
217,TRUE,FALSE,FALSE,0.998,0.68,0.681093502,0.00071784,0.000505953,TF,0
218,TRUE,FALSE,FALSE,0.998,0.537,0.537892856,0.000306393,0.0011846,TF,0
219,TRUE,FALSE,FALSE,0.997,0.412,0.41186977,0.001045036,0.002896527,TF,0
220,TRUE,FALSE,FALSE,0.999,0.596,0.590822272,0.000401019,0.000586365,TF,0
221,TRUE,FALSE,FALSE,0.997,0.364,0.363632974,0.000223372,0.001690341,TF,0
222,TRUE,FALSE,FALSE,0.999,0.49,0.490615031,0.001539976,7.82E-05,TF,0
223,TRUE,FALSE,FALSE,0.999,0.8,0.799778164,0.000925428,5.70E-06,TF,0
224,TRUE,FALSE,FALSE,0.999,0.861,0.915286876,0.000311695,0.000786286,TF,0
225,TRUE,FALSE,FALSE,0.998,0.451,0.451593748,0.001087626,0.003183335,TF,0
226,TRUE,FALSE,FALSE,0.999,0.526,0.526091192,2.50E-05,0.001442327,TF,0
227,TRUE,FALSE,FALSE,0.995,0.242,0.242710652,0.002794144,0.004869921,TF,0
228,TRUE,FALSE,FALSE,0.999,0.883,0.904729721,0.001571548,0.000212438,TF,0
229,TRUE,FALSE,FALSE,0.998,0.381,0.380336757,0.000385654,0.002139255,TF,0
230,TRUE,FALSE,FALSE,0.999,0.713,0.713111244,0.000370357,0.000879914,TF,0
231,TRUE,FALSE,TRUE,0.916,0.15,0.085209503,0.029930179,0.150347317,T-EV,2
232,TRUE,FALSE,FALSE,0.999,0.664,0.676534871,0.000416352,0.000371613,TF,0
233,TRUE,FALSE,FALSE,0.985,0.222,0.223554865,0.001756739,0.014712186,TF,0
234,TRUE,TRUE,FALSE,0.907,0.136,0.092210689,0.136645713,0.047387861,TI,1
235,TRUE,FALSE,FALSE,0.999,0.718,0.717720225,0.001151971,0.001198968,TF,0
236,TRUE,FALSE,FALSE,0.999,0.565,0.565261398,0.000418008,0.001336193,TF,0
237,FALSE,FALSE,TRUE,0.998,0.436,0.00218495,0.001418519,0.436296604,T-EV,2
238,TRUE,FALSE,FALSE,0.997,0.472,0.472221667,0.00143434,0.002287449,TF,0
239,TRUE,FALSE,FALSE,0.983,0.219,0.219027747,0.002688389,0.016353489,TF,0
240,TRUE,FALSE,FALSE,0.999,0.747,0.724865873,4.90E-05,0.000730402,TF,0
241,TRUE,FALSE,FALSE,0.998,0.306,0.307428208,0.001481839,0.002338297,TF,0
242,TRUE,FALSE,FALSE,0.999,0.763,0.762236436,0.000433602,0.000479557,TF,0
243,TRUE,FALSE,FALSE,0.998,0.381,0.380602344,0.000794292,0.003148855,TF,0
244,TRUE,FALSE,FALSE,1,0.722,0.722712248,0.000631961,0.001458538,TF,0
245,FALSE,TRUE,FALSE,0.999,0.978,7.99E-06,0.977515525,0.000196648,TI,1
246,FALSE,TRUE,FALSE,0.999,0.795,0.001392889,0.794051173,0.000154307,TI,1
247,TRUE,FALSE,FALSE,0.999,0.6,0.600596893,0.00157104,0.001124182,TF,0
248,TRUE,FALSE,FALSE,0.999,0.496,0.494850867,0.000864489,0.001194664,TF,0
249,TRUE,FALSE,FALSE,0.999,0.931,0.932267761,0.00134631,0.000880497,TF,0
250,TRUE,FALSE,FALSE,0.999,0.525,0.523802944,0.000387955,0.00104843,TF,0
251,TRUE,FALSE,TRUE,0.929,0.172,0.17179165,0.009946569,0.069382417,TF,0
252,TRUE,FALSE,FALSE,0.999,0.489,0.488568149,0.000293119,0.000276337,TF,0
253,TRUE,FALSE,FALSE,0.999,0.577,0.576525999,0.000907511,0.00144876,TF,0
254,TRUE,FALSE,FALSE,0.994,0.242,0.242136893,0.001811266,0.006355753,TF,0
255,TRUE,FALSE,TRUE,0.925,0.162,0.161215519,0.01928216,0.075266484,TF,0
256,TRUE,FALSE,FALSE,0.999,0.913,0.887484463,0.001321223,0.000754364,TF,0
257,TRUE,FALSE,TRUE,0.93,0.175,0.174133708,0.009922372,0.07053993,TF,0
258,FALSE,FALSE,TRUE,0.999,0.964,0.000677023,0.000403131,0.963414709,T-EV,2
259,TRUE,FALSE,FALSE,0.999,0.896,0.913550654,0.000205499,0.000467454,TF,0
260,TRUE,FALSE,FALSE,1,0.748,0.739237064,0.001477024,0.000449495,TF,0
261,TRUE,FALSE,FALSE,0.997,0.282,0.283365653,0.001487862,0.003056351,TF,0
262,FALSE,FALSE,TRUE,0.999,0.971,0.000528917,0.000431835,0.969494163,T-EV,2
263,TRUE,FALSE,FALSE,0.98,0.22,0.21955327,0.002176787,0.020885599,TF,0
264,TRUE,FALSE,FALSE,0.999,0.592,0.593584724,0.000554335,0.001537448,TF,0
265,TRUE,TRUE,FALSE,0.933,0.176,0.174248436,0.066373167,0.045011749,TF,0
266,TRUE,FALSE,FALSE,0.974,0.216,0.214448608,0.002270145,0.024182912,TF,0
267,TRUE,FALSE,FALSE,0.998,0.259,0.259221559,0.002632535,0.001963494,TF,0
268,TRUE,FALSE,TRUE,0.93,0.174,0.173989952,0.009691912,0.070032222,TF,0
269,FALSE,FALSE,TRUE,0.998,0.437,0.001970768,0.000135046,0.437142574,T-EV,2
270,FALSE,FALSE,TRUE,0.999,0.931,0.001357916,0.00049305,0.931621526,T-EV,2
271,TRUE,FALSE,FALSE,0.999,0.863,0.839556738,0.001581753,0.001456984,TF,0
272,TRUE,FALSE,FALSE,1,0.587,0.587668922,0.000802526,0.000921508,TF,0
273,TRUE,FALSE,FALSE,0.998,0.422,0.420967123,0.001414696,0.003160035,TF,0
274,FALSE,TRUE,FALSE,0.998,0.958,0.001311296,0.957659094,0.001187142,TI,1
275,TRUE,FALSE,FALSE,0.998,0.329,0.329889121,0.001124896,0.002415256,TF,0
276,TRUE,FALSE,FALSE,0.999,0.64,0.638204157,0.000297008,0.00020289,TF,0
277,TRUE,FALSE,FALSE,0.988,0.231,0.231857752,0.003001591,0.011337887,TF,0
278,TRUE,FALSE,TRUE,0.923,0.157,0.156866525,0.025104837,0.077520789,TF,0
279,TRUE,FALSE,FALSE,0.999,0.799,0.799773276,0.000622557,0.001335234,TF,0
280,TRUE,FALSE,FALSE,0.997,0.444,0.442881189,0.001381098,0.002181884,TF,0
281,FALSE,TRUE,FALSE,1,0.795,0.000503226,0.794140781,0.001214688,TI,1
282,TRUE,FALSE,FALSE,0.998,0.407,0.407281623,0.001403534,0.002866196,TF,0
283,TRUE,TRUE,TRUE,0.886,0.12,0.117049711,0.114072357,0.083762883,TF,0
284,TRUE,FALSE,FALSE,0.999,0.667,0.669266626,0.000995603,0.001249884,TF,0
285,TRUE,FALSE,FALSE,0.999,0.623,0.628680262,0.000399012,0.001143669,TF,0
286,TRUE,FALSE,FALSE,0.998,0.436,0.43526969,1.64E-06,0.002168485,TF,0
287,TRUE,FALSE,FALSE,1,0.795,0.795242293,0.000412413,0.000763706,TF,0
288,TRUE,FALSE,FALSE,0.998,0.337,0.338033035,0.001146232,0.001902819,TF,0
