Block#,Pout,|COND|,P,Pe,Pmost,RP,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,Trojan?
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166667,1.333333,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
0,0.5,1,0.25,0.125,0.5,0.5,0,1,1,2,1,1,1,4,0.5,2.5,1
0.5,1,1,0.5,0.5,1,0.5,0,1,1,129,1,128,1,3,0.000061,0.000242,1
0.5,1,1,0,0,1,0,0,1,1,129,128,128,1,3,0.007752,0.007934,1
1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.25,4,0.125,0.031,0.5,0.25,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.5,2,0.125,0.063,0.5,0.25,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.125,1,0.031,0.004,0.5,0.063,0,2,1,134,2,128,1,13,0.000117,0.000875,1
1,0.03125,1,0,0,0.5,0,0,128,1,134,128,128,1,13,0.007463,0.008221,1
1,0.03125,0,0.031,0.001,0.5,0.063,0,128,1,134,128,128,1,13,0.007463,0.008221,1
1,0.5,1,0.063,0.031,0.5,0.125,0,1,1,134,1,128,1,13,0.000058,0.000816,1
1,0.0625,1,0.031,0.002,0.5,0.063,0,1,1,134,1,128,1,13,0.000058,0.000816,1
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.25,1,0.125,0.031,0.5,0.25,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166667,1.333333,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
0,0.5,1,0.25,0.125,0.5,0.5,0,1,1,2,1,1,1,4,0.5,2.5,1
0.5,1,1,0.5,0.5,1,0.5,0,1,1,129,1,128,1,3,0.000061,0.000242,1
0.5,1,1,0,0,1,0,0,1,1,129,128,128,1,3,0.007752,0.007934,1
0.75,1,1,0,0,1,0,0,1,1,129,128,128,1,3,0.007752,0.007934,1
0.75,1,0,1,1,1,1,0,1,1,129,128,128,1,3,0.007752,0.007934,1
1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.25,4,0.125,0.031,0.5,0.25,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.5,2,0.125,0.063,0.5,0.25,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.125,1,0.031,0.004,0.5,0.063,0,2,1,6,2,2,1,12,0.166667,1.166667,0
1,0.5,1,0.063,0.031,0.5,0.125,0,1,1,6,1,2,1,12,0.083333,1.083333,0
1,0.0625,1,0.031,0.002,0.5,0.063,0,1,1,6,1,2,1,12,0.083333,1.083333,0
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.25,1,0.125,0.031,0.5,0.25,0,1,1,3,1,1,1,6,0.333333,2.333333,0
2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333,2.333333,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.125,1,0.063,0.008,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
3,0.25,1,0.125,0.031,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.25,1,0.125,0.031,0.5,0.25,0,1,1,6,1,1,1,7,0.166667,1.333333,0
4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166667,1.333333,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
5,0.25,1,0.125,0.031,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
0,1,1,1,1,1,1,0,1,1,20,20,20,20,1,0.05,1.0025,0
1,1,1,1,1,1,1,0,1,1,4,4,4,4,1,0.25,1.0625,1
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
0,1,1,1,1,1,1,0,1,1,20,20,20,20,1,0.05,1.0025,0
1,1,1,1,1,1,1,0,1,1,4,4,4,4,1,0.25,1.0625,1
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
1,1,1,0.25,0.25,0.5,0.5,0,1,1,2,1,1,1,3,0.5,2,0
1,1,1,1,1,1,1,0,1,1,128,128,128,128,1,0.007813,1.000061,0
2,1,1,1,1,1,1,0,1,1,128,128,128,128,1,0.007813,1.000061,0
3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.007813,0.250977,0
3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.007813,0.250977,0
3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.007813,0.250977,0
3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.007813,0.250977,0
4,1,1,1,1,1,1,0,1,1,32,32,32,32,1,0.03125,1.000977,0
5,1,1,1,1,1,1,0,1,1,128,128,128,128,1,0.007813,1.000061,1
1,1,8,0.5,0.5,0.5,1,0,1,1,4,1,2,1,4,0.125,0.625,1
1,1,2,0.125,0.125,0.5,0.25,1,3,0.33333333,4,2,2,1,4,0.25,0.75,1
1,1,2,0.125,0.125,0.5,0.25,1,3,0.33333333,4,2,2,1,4,0.25,0.75,1
1,1,4,0.25,0.25,0.5,0.5,0,1,1,4,1,2,1,4,0.125,0.625,1
2,1,1,0,0,0.9999,0,0,128,1,128,128,128,128,2,0.007813,1.000122,1
2,1,0,1,1,0.9999,1,0,128,1,128,128,128,128,2,0.007813,1.000122,1
1,1,3,0.75,0.75,0.5,1.5,0,1,1,2,2,2,2,2,0.5,1.5,0
1,1,1,0.25,0.25,0.5,0.5,0,1,1,2,2,2,2,2,0.5,1.5,0
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
1,1,1,0.25,0.25,0.5,0.5,0,1,1,2,1,1,1,3,0.5,2,0
2,1,1,0.5,0.5,0.5,1,0,1,1,132,1,129,1,6,0.000059,0.000411,1
2,1,1,0,0,0.5,0,0,132,1,132,128,129,1,6,0.007517,0.007869,1
2,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
2,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
2,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,4,1,3,1,4,0.083333,0.416667,1
1,1,2,0.125,0.125,0.5,0.25,1,3,0.33333333,4,3,3,1,4,0.25,0.583333,1
1,1,2,0.125,0.125,0.5,0.25,1,3,0.33333333,4,3,3,1,4,0.25,0.583333,1
1,1,4,0.25,0.25,0.5,0.5,0,1,1,4,1,3,1,4,0.083333,0.416667,1
2,1,1,0,0,0.9999,0,0,128,1,128,128,128,128,2,0.007813,1.000122,1
2,1,0,1,1,0.9999,1,0,128,1,128,128,128,128,2,0.007813,1.000122,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,129,1,128,1,3,0.000061,0.000242,1
1,1,1,0,0,0.5,0,0,129,1,129,128,128,1,3,0.007752,0.007934,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,132,1,129,1,6,0.000059,0.000411,1
1,1,1,0,0,0.5,0,0,132,1,132,128,129,1,6,0.007517,0.007869,1
1,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,129,1,128,1,3,0.000061,0.000242,1
2,1,1,0,0,0.5,0,0,129,1,129,128,128,1,3,0.007752,0.007934,1
2,1,0,0.5,0.5,0.5,1,0,129,1,129,1,128,1,3,0.000061,0.000242,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,129,1,128,1,3,0.000061,0.000242,1
1,1,1,0,0,0.5,0,0,129,1,129,128,128,1,3,0.007752,0.007934,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,132,1,129,1,6,0.000059,0.000411,1
1,1,1,0,0,0.5,0,0,132,1,132,128,129,1,6,0.007517,0.007869,1
1,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0,0,0.5,0,0,132,1,132,129,129,1,6,0.007576,0.007928,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,0
1,0.5,1,0.25,0.125,0.5,0.5,0,2,1,2,1,1,1,4,0.5,2.5,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
2,1,1,0.5,0.5,0.5,1,0,1,1,129,1,128,1,3,0.000061,0.000242,1
2,1,1,0,0,0.5,0,0,129,1,129,128,128,1,3,0.007752,0.007934,1
2,1,0,0.5,0.5,0.5,1,0,129,1,129,1,128,1,3,0.000061,0.000242,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
1,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
2,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
2,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
3,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
3,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
4,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
4,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
5,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
5,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
6,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
6,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
7,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
7,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
8,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
8,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
1,1,1,0.5,0.5,0.5,1,0,1,1,129,1,128,1,3,0.000061,0.000242,1
1,1,1,0,0,0.5,0,0,129,1,129,128,128,1,3,0.007752,0.007934,1
1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
1,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
2,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
2,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
3,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
3,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
4,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
4,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
5,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
5,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
6,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
6,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
7,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
7,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
8,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
8,1,1,0.25,0.25,0.5,0.5,0,2,1,2,1,1,1,3,0.5,2,0
1,1,1,0.5,0.5,0.5,1,0,1,1,132,1,129,1,6,0.000059,0.000411,1
1,1,1,0,0,0.5,0,0,132,1,132,128,129,1,6,0.007517,0.007869,1
